"","id","trial","x","y","z","out","cond"
"1206",30,18,2,2,3,13,"active"
"1207",30,19,4,2,4,18,"active"
"1208",30,20,2,3,4,22,"active"
"1209",30,21,3,4,4,29,"active"
"1210",30,22,2,3,2,16,"active"
"1299",31,1,4,4,4,30,"active"
"1300",31,2,3,3,3,20,"active"
"1301",31,3,3,4,4,24,"active"
"1302",31,4,4,4,3,29,"active"
"1303",31,5,4,4,2,28,"active"
"1304",31,6,2,2,2,10,"active"
"1305",31,7,4,3,4,27,"active"
"1306",31,8,4,2,4,24,"active"
"1307",31,9,4,3,3,26,"active"
"1308",31,10,4,2,2,22,"active"
"1309",31,11,2,4,4,18,"active"
"1310",31,12,2,3,4,15,"active"
"1311",31,13,3,4,3,23,"active"
"1312",31,14,4,3,2,25,"active"
"1313",31,15,2,4,2,16,"active"
"1314",31,16,3,2,2,16,"active"
"1315",31,17,2,3,2,13,"active"
"1316",31,18,4,2,3,23,"active"
"1317",31,19,2,4,3,17,"active"
"1318",31,20,3,2,4,18,"active"
"1319",31,21,2,2,4,12,"active"
"1320",31,22,2,2,3,11,"active"
"1321",32,1,2,3,4,18,"active"
"1322",32,2,3,3,2,19,"active"
"1323",32,3,4,3,2,22,"active"
"1324",32,4,3,3,4,21,"active"
"1325",32,5,2,2,2,10,"active"
"1326",32,6,2,4,3,23,"active"
"1327",32,7,2,4,2,22,"active"
"1328",32,8,4,3,3,23,"active"
"1329",32,9,3,4,4,27,"active"
"1330",32,10,2,2,4,12,"active"
"1331",32,11,4,4,3,29,"active"
"1332",32,12,3,2,3,14,"active"
"1333",32,13,4,2,3,17,"active"
"1334",32,14,3,2,2,13,"active"
"1335",32,15,2,2,3,11,"active"
"1336",32,16,3,2,4,15,"active"
"1337",32,17,4,3,4,24,"active"
"1338",32,18,3,3,3,20,"active"
"1339",32,19,4,2,4,18,"active"
"1340",32,20,3,4,2,25,"active"
"1341",32,21,4,2,2,16,"active"
"1342",32,22,4,4,4,30,"active"
"1387",33,1,3,4,2,15,"active"
"1388",33,2,4,4,4,30,"active"
"1389",33,3,4,2,4,28,"active"
"1390",33,4,3,4,3,21,"active"
"1391",33,5,4,2,3,22,"active"
"1392",33,6,4,2,2,16,"active"
"1393",33,7,2,4,4,24,"active"
"1394",33,8,3,4,4,27,"active"
"1395",33,9,3,2,4,25,"active"
"1396",33,10,2,3,4,23,"active"
"1397",33,11,2,2,4,22,"active"
"1398",33,12,3,3,4,26,"active"
"1399",33,13,4,4,2,18,"active"
"1400",33,14,3,2,3,19,"active"
"1401",33,15,4,3,2,17,"active"
"1402",33,16,3,3,3,20,"active"
"1403",33,17,4,3,4,29,"active"
